production_current,production_planned,production_past,quantity_sold,total_income,revenue_sales,new_loan_issuance,subsidies,good_price_current,good_price_past,total_liabilities,labor_wage_bill,capital_costs,tax_payments,debt_principal_payments,debt_interest_payments,dividend_payments,total_assets,leverage_ratio,cash_on_hand,dividend_ratio,dividend_ratio_optimist,dividend_ratio_pessimist,employee_count,wage_offer,employee_count_desired,n_active_job_postings,need_worker,w_target,w_current,inventory,working_capital_inventory,desired_inventory_factor,inventory_factor,sentiment,bankrupt,is_cons_firm,average_profit,average_sale_quantity,short_term_funding_gap,long_term_funding_gap,expected_wage_bill,layoff_wage_savings,expected_wage_bill_shortfall,expected_long_term_shortfall,labor_utilization,desired_inventory,inventory_reaction_factor,machine_utilization,desired_machines
0,920,0,0,0,0,0,0,8.41658,0,0,0,0,0,0,0,0,802072,0,802072,0.0315537,0.0315537,0.0211607,46,41000,46,0,1,0,0,920,46,1.30207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,907,0,0,0,0,0,0,8.15537,0,0,0,0,0,0,0,0,769420,0,769420,0.029054,0.029054,0.0491074,45,42000,45,0,1,0,0,907,45,1.26942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,895,0,0,0,0,0,0,7.9054,0,0,0,0,0,0,0,0,738175,0,738175,0.0411607,0.0411607,0.0293522,44,43000,44,0,1,0,0,895,44,1.23818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,955,0,0,0,0,0,0,9.11607,0,0,0,0,0,0,0,0,889509,0,889509,0.0691074,0.0691074,0.0302056,47,44000,47,0,1,0,0,955,47,1.38951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1095,0,0,0,0,0,0,11.9107,0,0,0,0,0,0,0,0,1.23884e+006,0,1.23884e+006,0.0493522,0.0493522,0.0483952,54,45000,54,0,1,0,0,1095,54,1.73884,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,996,0,0,0,0,0,0,9.93522,0,0,0,0,0,0,0,0,991902,0,991902,0.0502056,0.0502056,0.0336085,49,46000,49,0,1,0,0,996,49,1.4919,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1001,0,0,0,0,0,0,10.0206,0,0,0,0,0,0,0,0,1.00257e+006,0,1.00257e+006,0.0683952,0.0683952,0.0299187,50,47000,50,0,1,0,0,1001,50,1.50257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1091,0,0,0,0,0,0,11.8395,0,0,0,0,0,0,0,0,1.22994e+006,0,1.22994e+006,0.00991771,0.00991771,0.0365725,54,48000,54,0,1,0,0,1091,54,1.72994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,799,0,0,0,0,0,0,5.99177,0,0,0,0,0,0,0,0,498971,0,498971,0.0536085,0.0536085,0.0215663,39,49000,39,0,1,0,0,799,39,0.998971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1018,0,0,0,0,0,0,10.3609,0,0,0,0,0,0,0,0,1.04511e+006,0,1.04511e+006,0.0499187,0.0499187,0.025181,50,50000,50,0,1,0,0,1018,50,1.54511,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,999,0,0,0,0,0,0,9.99187,0,0,0,0,0,0,0,0,998983,0,998983,0.0565725,0.0565725,0.0302952,49,51000,49,0,1,0,0,999,49,1.49898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1032,0,0,0,0,0,0,10.6572,0,0,0,0,0,0,0,0,1.08216e+006,0,1.08216e+006,0.0415663,0.0415663,0.0387538,51,52000,51,0,1,0,0,1032,51,1.58216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
